Issue Key,Summary,Issue Type,Priority,Epic Link,Sprint,Assignee,Component,Labels,Depends On,Description,Acceptance Criteria,Iteration,Epic Name,Sprint Goal
I3-EPIC-1,定额与价目基础表,Epic,P0,,Sprint 3,,Architecture,"iteration-3,epic,quota,price",,"Iteration 3 下负责定额、价目和取费的基础建表与字段口径。","完成后系统具备定额、价目和取费模板的基础存储能力",I3,定额与价目基础表,完成定额、价目、取费和计价引擎主链，让系统具备正式计价、重算和人工调价能力。
I3-EPIC-2,定额管理与选择器,Epic,P0,,Sprint 3,,Architecture,"iteration-3,epic,quota,selector",,"Iteration 3 下负责定额明细维护、批量创建和定额选择器。","完成后系统可维护清单项定额并按专业定额集检索候选",I3,定额管理与选择器,完成定额、价目、取费和计价引擎主链，让系统具备正式计价、重算和人工调价能力。
I3-EPIC-3,价目版本与取费模板,Epic,P0,,Sprint 3,,Architecture,"iteration-3,epic,price,fee",,"Iteration 3 下负责价目版本、取费模板查询和项目绑定。","完成后系统可为项目配置默认价目版本和取费模板",I3,价目版本与取费模板,完成定额、价目、取费和计价引擎主链，让系统具备正式计价、重算和人工调价能力。
I3-EPIC-4,计价引擎与重算,Epic,P0,,Sprint 3,,Architecture,"iteration-3,epic,pricing-engine,recalculate",,"Iteration 3 下负责系统计价、人工调价和批量重算。","完成后系统可计算系统值、人工值和最终值并支持重算",I3,计价引擎与重算,完成定额、价目、取费和计价引擎主链，让系统具备正式计价、重算和人工调价能力。
I3-EPIC-5,校验、权限与审计,Epic,P1,,Sprint 3,,Architecture,"iteration-3,epic,validation,permission,audit-log",,"Iteration 3 下负责定额校验、权限控制和计价主链审计。","完成后系统可对计价主链执行校验、权限和追溯控制",I3,校验、权限与审计,完成定额、价目、取费和计价引擎主链，让系统具备正式计价、重算和人工调价能力。
I3-EPIC-6,前端计价主链,Epic,P1,,Sprint 3,,Architecture,"iteration-3,epic,frontend,pricing",,"Iteration 3 下负责定额管理、价目取费联动和计价结果前端。","完成后前端可使用完整计价主链",I3,前端计价主链,完成定额、价目、取费和计价引擎主链，让系统具备正式计价、重算和人工调价能力。
I3-01,创建定额、价目与取费基础表迁移,Story,P0,I3-EPIC-1,Sprint 3,,Backend,"iteration-3,quota,price,fee,database","I2-01,I2-02","创建 `quota_line`、`price_version`、`price_item`、`fee_template`、`fee_rule` 五张核心表，并补齐索引和约束。","五张表可完成迁移；`price_version.version_code` 唯一；`price_item(price_version_id, quota_code)` 唯一",I3,,
I3-02,补齐定额与价目源字段,Story,P0,I3-EPIC-1,Sprint 3,,Backend,"iteration-3,quota,price,compatibility","I3-01","给 `quota_line` 补齐 `source_standard_set_code`、`source_quota_id`、`chapter_code` 等字段，给 `price_item` 补齐人工/材料/机械单价字段。","定额来源字段完整保留；价目明细支持分项单价",I3,,
I3-03,固化 Iteration 3 枚举与计价字段口径,Task,P0,I3-EPIC-1,Sprint 3,,Backend,"iteration-3,enum,pricing","I3-01","固化 `manual / ai / history_reference`、价目状态、取费模板状态和 `system_* / manual_* / final_*` 三套价格口径。","枚举与文档一致；代码侧统一使用",I3,,
I3-04,实现定额明细读写接口,Story,P0,I3-EPIC-2,Sprint 3,,Backend,"iteration-3,quota,api","I3-01,I2-10","实现 `GET/POST/PUT /api/v1/projects/{id}/quota-lines...`。","清单项下可新增多条定额；可编辑数量、含量系数和来源方式",I3,,
